A mennybe' fenn	140			
Áldjad, én lelkem, Uradat, az Istent	141	103. zsoltár		
Az Úr csodás kegyelme	145			Amazing Grace
Az Úrnak szerető irgalmát	142		kánon	
				
Bár szétszakadva él az egyház	143			
Bűneid átkos börtöne alján	144			
				
Dicsérjétek az Urat	146	150. zsoltár		
Dicsérjétek az Úrnak nevét	147			
				
E kietlen tájakon	148			
Ébredj, alvó	149			Wachet auf
Éltem minden dolgában	150			O Welt, ich muss
Én Jézust hirdetem	151		kánon	
Én nem tudom, mért szeretett úgy minket	152			I Cannot Tell
				
Fordulj immár, fáradt lelkem	153			
				
Ha a keresztre néz szemem	154			
Ha bűnben vagy	155			
Ha szól az Úr	157			
Ha vándorutam csüggedten járom	158		kánon	
Halld meg, bűnös ember	159			
Halleluja... hadd zengjen minden húr	156		kánon	
Hallod-e Jézus hívását	161		kánon	
Hány hívő érte el az égi célt	160			Oi Jeesus, kiitos
				
Íme lészen a kései korban	162			Het zal zijn in laatste der tijden
Isten velünk! Viszontlátásra! (más)	163			Auf Wiedersehen!
				
Jöjj, szabadíts meg	164			
				
Midőn eljön az én órám	165			
Miért nincsen szárnyam	168			
Mindenre van erőm	167			
Mindig velem, Uram	166			
				
Nagy irgalmú Úr Isten	169			Straf mich nicht
Neked zendül, Istenünk, a hála	170			
Nem rejtem el	171			
Nincsen szebb név	172			
				
Ott a messze földön	173			In der fremden Lände
				
Örök Úr vagy	175			
Örömömben, bánatomban	174			
				
Semmi felől ne aggódjál	179			
Semmi kétség, Krisztus eljön!	176			
Siessetek, hamar lejár	177			
Sűrű sötét van mindenfelé	178			
				
Szent Úr Isten, mi jó Atyánk	182			
Szívem csendben az Úrra figyel	180		kánon	
Szólott az Isten	181	110. zsoltár		
				
Térjetek meg	183		kánon	
				
Uram Isten, milyen nagyon jó vagy	185	73. zsoltár		
Uram, tiéd vagyok én	186			
Urunk nagy nevét	184	96. zsoltár		
				
Véred lelkem ára	187			
Volna sok okom	188			
