A bölcs házát sziklára	10
A bűn, a bűn, a bűn	99
Add, hogy életem	7
A megfeszítettre ki ránéz	61
A mennynek az ablaka nyitva	2
A menny örök otthona vár odaát	36
Amint vagyok, sok bűn alatt	3
Arcomon s hangommal	106
A tegnap terhe	73
A tiéd vagyok	117
Az áldott orvos	110
Az én Uram jól tudja utamat	8
Az ördög szavára ne hallgass	6
Az Úr a pásztorom	120
Az Úr az én jó pásztorom	9
Az Úr azt kívánja tőlem	46
Az Úrba rejtve élem	51
Az Úr ma ifjakat hív	5
Az ügy tiéd, Úr Krisztusunk	89
Áldott légy, mert megváltottál	4
	
Bár nem tudom	98
Bim-bam-bam	37
Bízom Benned, Uram Jézus	11
Boldog örömmel	111
Boldogság tudni	12
Bűneid ha bántnak téged	14
Bűnfoltom mi mossa le	68
	
Csak parittya	13
Csillag, égi fényem	16
	
Drága sziklán	17
	
Egy forrás van	19
Eldőlt a szívemben	23
Engem szeret Jézusom	20
Égi harsonák ha zengnek	21
Életed hajóját	22
Én a világot bejártam	85
Érettem vérezett	38
	
Fáradt vándor, terheiddel	24
Fel, mert eljő az éjjel	26
Feltámadt Jézusomnak szolgálok	29
Fenn a mennyben az Úr	102
	
Giling-galang	78
	
Hajnali fényben	30
Halld, halld! Jézus szeret	15
Halld meg a hívást	34
Hallelu, hallelu	32
Halljad, a pásztor szól	31
Hallod-é? Jézus kopog	121
Hallottad-e már	101
Ha szívem az Úrba’	25
Ha szívem néha elszorul	109
Hál’adás, hál’adás, hál’adás	40
Higgy és bízzál	108
Hisszük, meghallgat az Úr	33
Hívő hitem, kis mécsem	35
Hogyha Jézus újra eljő	42
Hogyha kél a hajnal	95
Hű barátunk Krisztus Jézus	75
	
Időnk fut zúgva, vészesen	44
Így száll imánk	77
Isten trónja még áll	43
	
Jézus ad csak boldogságot	27
Jézus az út és az igazság	47
Jézushoz jöjj	41
Jézus kezében van a kormánykerék	49
Jézus Krisztus tegnap, ma	28
Jézus, légy velem	54
Jézusnak adtam szívemet	39
Jézusom, Megváltóm győzött	60
Jézussal az élet	52
Jézus szól: világíts	55
Jöjjetek, örvendezzetek	76
	
Két kicsi szem	58
Kimegy a magvető	119
Kis telefonom van	53
Ki volt, ki elgondolta	59
Krisztus az énekem	93
Krisztus engem szeret	48
Krisztus, szent név	50
	
Legyen szívünk mindig vidám	97
	
Megfogódzom hű kezedben	92
Meg kell már végre változnom	62
Megnyílt a menny	64
Megy a pásztor	118
Mennyi sok csodatett	66
Mert a Jézusé vagyok	65
Mert bennem Krisztus él	1
Messze földön	115
Még oly kicsiny vagyok	88
Mily jó, hogy drága Jézusunk	100
Mily szép az Ő neve	67
Mi várjuk az Úr Jézust	105
Most, most, még ifjúkorodban	56
	
Nagyhatalmú, hős Király	70
Nagy Istenem	69
Nem leszek én magam	72
	
Ó! boldog ház	18
Ó fogd kezem kezedbe	74
Ó! jertek, zengjünk	103
Olvasd egyre szent Bibliád	79
Ó mi boldog ember	114
Ó, mily dicsőséges Ő	80
Ott a messze földön	104
	
Örvendj, ég, és örvendj, föld	82
Ő tud mindent	84
	
Pásztorokkal vagyok útban	83
	
Rút volt szívem, sötét	57
	
Siessetek, hamar lejár	112
	
Szépséges Jézus	86
Szeret az Isten!	45
Sziklára rakd	113
Szívem örömmel van tele	63
	
Te kis veréb	87
Testvér jöjj, dicsérjük	71
Törődj gyermekekkel	123
Tudod-e miért övé a szívem	90
Tudod-e te, hogy szeret Isten	107
Tudod, hogy hány csillag	122
Tudom, meglátom egyszer	91
Tüzed, Uram Jézus	94
	
Úr Jézus, Úr Jézus	124
	
Vágyol-e elhagyni bűneidet?	96
Végezd a munkát	116
Vigyázz kicsi szem	81
