Abbá, mennyei Atyám	6
Ahova nézek	32
A keskeny úton	49
A szívem, Jézus	25
	
Csend van bennem	35
	
Dalold el madárka	22
De kék az ég	15
Dicsérlek Téged, magasztalom	42
	
Elég az Úr kegyelme	23
Én is tudom	67
Én nem tudok nélküled élni	50
	
Ha csak hangulat	48
Ha nem volna számomra kegyelem	31
Hogyan köszönjem a tegnapot	57
Hogyha elbotolnék	27
Hogyha szívem kéred	21
	
Jó, jó, olyan jó	24
Jó nekem	39
Jöjj mihozzánk	36
Jövel Jézus	28
	
Karácsony van	69
Keressétek az én orcámat	61
Kék az ég, nap ragyog	53
Két szívű ember	38
Ki vagy és milyen	47
Köszönöm az életem	14
Követni Jézust	11
	
Lágyan hullik a hó	68
Leborulok előtted, Jézus	51
Legyen áldás	17
Legyen csak úgy	63
Lehet mindig hitben élni	12
	
Mért félig Tied a szívem	66
Mért is lettem	19
Mindeddig megőrzött az Úr	60
Minden csak árnyék	5
Minek is élek	65
Múlnak a napok	8
	
Ne fordulj vissza	34
Nem értem én	45
Nem kell félnem	55
Nem szeret senki	37
Nem tudod	46
Nincsen olyan boldog ember	52
	
Olyan jó élni Isten műhelyében	1
Olyan kincsre vágyunk	26
Ott áll a Golgotán	4
	
Örömben, bánatban	18
Öröm és hála	10
Örülj	58
Örvendezve élni jó	20
	
Reggeli fohász	7
	
Semmi jót nem érdemlek	56
	
Szeret a Jézus	43
Szeretnék énekelni néked	30
	
Tanúd vagyok Uram	13
Te vagy, aki mindig velem jártál	3
Tégy engem áldássá	29
Tűző napon	54
	
Úgy érzem néha	9
Újra napfény ragyog	64
Új szövetséged elfogadom	59
	
Van úgy, hogy fáradt és nehéz	62
Vágyom, hogy a fény legyen úr	33
Veled beszélek	41
Véred lelkem ára	2
Vígan nevetünk	44
Vígan sietek	40
	
Zöld mezőkön	16
