1	Van-e csend szívedben (Karácsonyi kérdések)	
2	Esteledik, alkonyul	
3	Uram, Te jól ismersz engem	
4	Kéklő tengernek partján	
5	Lágyan leng az esti szél	
6	Karácsony est csend volt	Lk 2,8-30
7	A lelkem odaszáll	
8	Jézussal élni, ó, mi jó	
9	Emberekben ne bízzál	
10	Ott voltunk Véle	Lk 24,50-52
11	Engedelmes legyetek	
12	Isten Lelke, ó, jövel	
13	Lelki szemmel látlak Téged	
14	Add a te szívedet át nekem	Péld 23,26
15	Aki nékem szolgál	Jn 12,26
16	Amiket a szem nem látott	1Kor 2,9
17	Megy az idő, gyorsan múlik	
18	Isten szent igéjét hirdessétek	2Tim 4,2; Jk 1,22
19	Hadd legyen a szívem	
20	Fel a mennybe vágyom	Kol 3,1-4
21	Kedves nékem szülőföldem	Zsolt 87
22	Jézus téged vár	
23	Jöjj a bűnből, bűnörvényből	
24	Kő fedte a sírnak száját	
25	Bartimeus, a vak koldus	Mk 10,46-52
26	Mi tőle telt, ő azt tevé	Mk 14,3-8
27	Ne csüggedj, lelkem, szeret az Úr	2Kor 4,16-17
28	Jézusról szól énekem	
29	Kész van az én szívem	Zsolt 57,8-12
30	Fölfelé, ég felé	
31	Várva várunk, Jézusunk (Adventi ének)	
32	Uram, a csendre vágyom én (Adventi csend)	Zsolt 46,11
33	Húsvét ünnep kora reggel	
34	Tekints fel a Golgotára	
35	Imádságom szárnyain	
36	Emlékezz meg Teremtődről	Préd 12
37	Szólj hozzám csendesen	1Kir 19,12
38	Karácsonyi örömének	
39	Hozsánna, hozsánna	
40	Ki az Istent szereti	Róm 8,28
41	Várván vártam az Urat	Zsolt 40,1-4
42	Hiszek egy Istenben	
43	Krisztus feltámadott a halálból	
44	Felébredvén új reggelre	
45	Maradjatok bennem	Jn 15,4
46	Több hitet adj nekem	
47	Aki hisz énbennem	
48	Szeretlek én Téged	Zsolt 116,1
49	Isten igazsága az én igazságom	
50	Taníts minket imádkozni	Lk 11,1
51	Jézus a gyermekbarát	
52	Isten élő áldott Lelke	
53	Uram Jézus, szeretlek	Zsolt 116,1
54	Uram Jézus, oly jó Rólad hallani	
55	Nincsen nékünk itt a földön	
56	Bizonyságok fellegei	Zsid 12,1-5
57	Jézus, hiszek Benned rendületlenül	
58	Jézus, vérző homlokodra nézek	
59	Én vagyok a jó Pásztor	Jn 10,11.14
60	Eltöröl az Isten minden könnyet	Jel 21,4
61	Uram Jézus, vezess engem végig	
62	Jézusé vagyok, oly boldog vagyok	
63	Nem vagyok méltó	Lk 7,1-10
64	Győzedelmes életet	Jel 3,21
65	Megváltottalak, néven hívtalak	Ézs 43
66	Az utam Veled járom	Lk 24,13-15
67	Mit értem tettél, Jézusom	
68	Serkenj fel, aki aluszol	Ef 5,14-16
69	Hogyha angyaloknak nyelvén (A szeretet himnusza)	1Kor 13
70	Békességet hagyok néktek	Jn 14,27
