1	Zengjen hálaének		Isten magasztalása, dicsőítése
2	A te kegyelmedben		Kegyelem, Megváltás, Isten örök szerelme
3	Uram ugy szeretnék		Vágyakozás Isten megismerésére, Szentlélekkel való beteljesedés. A megváltozott élet öröme és hálaadása
4	Áldd meg Isten		Fohászkodás nemzetünkért
5	Ne unszolj engem	Ruth 1,16-17	Ruth hüsége megszomorodott anyósa iránt. Menyegzői alkalmakra hasznos szóló ének
6	Uram te jól ismersz engem		Hálaadás Isten irgalmáért, hozzánk lehajlásáért és végtelen szeretetéért
7	Fenn a kereszten		Jézus váltságvére vigasz, erő, győzelem
8	Jelentsd meg énnékem magad		Ima Isten titkai megértéséért, a büntől szabadulásért, megmentő szeretetéért
9	Elveszett bünös	Jel 2-3	Bűnbánat és vágyódás a megtérésre, a boldog élet titka
10	Itt a földön		Jövevények és vándorok vagyunk. A boldog élet titka. Hit, remény szeretet
11	Jézus a mi békességünk	Fil 2,15; Ef 2,14-15	Békesség Istennek és emberekkel
12	Ur Jézus téged várlak		Gyermekének, Advent, Karácsony
13	Elült minden földi zaj		A csend áldása. Az éjszaka csendje
14	Eljő az Ur	1Thessz 6,16-17	Jézus visszajövetele. A hivők reménysége
15	Dicsérjétek az Urat	Zsolt 138	A teremtett világ és az ember Istent dicsőitse
16	Ó Szentlélek		Pünkösdi ima a Szentlélekért
17	Uram ne feddj haragodban	Zsolt 6	Bünbánat. Bocsánatkérés Istentől
18	Kövek fognak kiáltani	Lk 19,40	Misszió. Bizonyságtétel. Megtérésre buzditás
19	Jézus arcán látom	Zsid 1,3	Jézus szépsége, szeretete, jósága, váltságvére, békessége
20	Karácsony Karácsony		Karácsonyi gyermekének
21	Mossál meg engem	Jn 13	Büntől megtisztulás
22	Ragyogj te áldott égi fény		Szóló ének Karácsonykor
23	Jöjjetek Karácsonyt ünnepelni		Karácsonyi gyermekének
24	Megjelent az Isten nagy kegyelme		Karácsonyi ének
25	Jézusom, királyom		Jézus királyi irgalma, világossága, szerelme, vezetése
26	Uj szivet adj nékem		Uj sziv melyben Jézus lakik, az Ige és a Lélek uralkodik
27	Megromlott az embersziv		A bünös ember megtérésre hivogatása
28	Megismerni Téged	Jn 17,3	Az örökélet. Örök boldogság. Mennyország
29	Nem messze vagy Isten országától	Mk 12,34	Figyelmeztetés a veszedelmekre és hivogatás megtérésre
30	Még kicsi vagyok		Kisgyermek ének
31	A Golgotán		Nagypénteki ének
32	Sürü sötét van		A bün sötétjéből, hivő és Istent magasztaló életre vágyás
33	Olajfáknak illatát		Jézus bucsuja az Olajfák hegyén és visszatérésének igérete
34	Áldjon meg téged az Úr	4Móz 6,22-27	Az ároni áldás
35	Van itt egy gyermek	Jn 6,9	Gyermekének, az ötezer ember megvendégeléséről
36	Jézus kopogtat		Adventi ének. Evangelizáló alkalmakra
37	Várva várunk Jézusunk		Adventi ének
38	Örvendj Sion leánya	Ézs 35; Jer 9,9	Adventi ének
39	Béküljetek meg	2Kor 6,20	Megbékélés Istennel és emberekkel
40	A Tábor ormán	Mt 17,1-9	A megdicsőülés hegyén
41	Énekem az Ur	Ézs 12,2	Értem, velem, engem, bennem
42	Szólj hozzám csendesen	Kir 19,12	Félelmek éjjelén, Isten szelid szava, vigasztalása, vezetése
43	Imádkozom, ha kél a nap		Kora reggel, bánatban, őriző szeretetért, gondviselésért
44	Dicsérjük Istent mindnyájan		Szívvel, szájjal, élettel
45	Jézus téged áldd szivem		Jézus öröm, gyönyörüség, fény
46	Zákeus a vámszedő	Lk 19,1-10	Gyermek ének
47	Tiéd vagyok Jézusom		Gyermek ének
48	Szólj hozzám, szólj ma		Az Igét hallani, elfogadni, tovább adni
49	Az Ur közel	Fil 4,5	Ne állj meg a bün utján, keresd üdvösségedet
50	Jöjjetek hozzám		Szomjazó szivek, kincskeresők, szeretetre vágyók
51	Jöjj Jézushoz		Mig el nem takar a sir, rakd le terhedet, keresd üdvösségedet
52	Jézus égi szeretet		Fogadj el, bocsáss meg, neveld hitem, vezess, add Szentlelkedet
53	Jézus földre jött		Adventi, karácsonyi gyermek ének
54	Imádkozom kora reggel		Munkába menet, bajban, betegségben, örömben, bánatban
55	Karácsony ünnepe		Karácsonyi ének
56	Husvéti ének		
57	Szivem telve hálaadással	Zsolt 50,14	Hálaadás mindenért
58	Teremts bennem tiszta szivet	Zsolt 51,12	A bünből megtisztulástól a bizonyságtevő életig
59	A mélységből	Zsolt 130	Imádság a bün mélységéből
60	Mint őrök a reggelt	Zsolt 130,6	Kitárom a szivem. Befogadom Jézust. Üdvösségre vágyom
61	Jézus az én pásztorom	Jn 10,11	Gyermek ének
62	Asztalt teritesz nékem	Zsolt 23,5	Isten gondviselő és megváltó szeretete
63	A szeretet hatalma	Jn 3,16	A világ teremtése, az ember, a bün, a munka, a kegyelem, az üdvösség
64	Jöjjetek énhozzám	Mt 11,28-29	Fáradtak, megterheltek, bünösök. A kereszt győzelmet ad
65	Hajnal csillag	Jel 22,16	Jézus fénye áthatol a bünön, reménységet, szabadulást, üdvösséget ad
66	Szeretlek én Uram Téged	Zsolt 18,2	Hozzád kiáltok, meghódolok, kérlek hogy gyujtsd meg szövétnekem
67	Elmulik az élet	Róm 2,4; 7,21	Amig időd van add át szivedet, fogadd el kegyelmét
68	Szentlélek jövel		Töltsd be szivünk, nyisd hitvallásra, adj bátorságot, bizonyságtevő életet, győzedelmet
69	Vissza jössz tudom		Jézus visszajövetele várása
70	Zengjen hálaének		Életünk is hálaadással, dicsőitéssel záródjék be
